Senator,Party,Born,Occupation(s),Assumed office,
Gary Peters,Democratic,1958-12-01,United States Navy Reserve officer; Financial advisor; Lawyer; College professor and lecturer,2015-01-03,
Chris Van Hollen,Democratic,1959-01-10,U.S. Senate staff member; Maryland Governor's legislative advisor; Lawyer,2017-01-03,
Cindy Hyde-Smith,Republican,1959-05-10,Farmer,2018-04-09,
Bill Hagerty,Republican,1959-08-14,"Management consultant; Partner, private equity investment firm; United States Ambassador to Japan; Tennessee Commissioner of Economic and Community Development",2021-01-03,
Bob Casey Jr.,Democratic,1960-04-13,Teacher; Lawyer,2007-01-03,
Amy Klobuchar,Democratic,1960-05-25,Lawyer,2007-01-03,
Roger Marshall,Republican,1960-08-09,"Doctor; Captain, U.S. Army Reserve",2021-01-03,
Thom Tillis,Republican,1960-08-30,Business consultant,2015-01-03,
John Thune,Republican,1961-01-07,Nonprofit organization executive; State Railroad Director; South Dakota Republican Party Executive Director,2005-01-03,
Kevin Cramer,Republican,1961-01-21,State Tourism Director; State Economic Development and Finance Director; North Dakota Republican Party Chairman,2019-01-03,
Pat Toomey,Republican,1961-11-17,Currency trader; Restaurant owner,2011-01-03,
Tammy Baldwin,Democratic,1962-02-11,Lawyer,2013-01-03,
Steve Daines,Republican,1962-08-20,Businessman,2015-01-03,
Rand Paul,Republican,1963-01-07,Physician specializing in Ophthalmology,2011-01-03,
Chris Coons,Democratic,1963-09-09,Nonprofit organization executive; Lawyer,2010-11-15,
Mark Kelly,Democratic,1964-02-21,"U.S. Navy officer; NASA Astronaut; Founder, Americans for Responsible Solutions non-profit organization",2020-12-02,
Catherine Cortez Masto,Democratic,1964-03-29,Lawyer,2017-01-03,
Dan Sullivan,Republican,1964-11-13,U.S. Marine Corps officer; Lawyer; Assistant Secretary of State for Economic and Business Affairs,2015-01-03,
Michael Bennet,Democratic,1964-11-28,Lawyer; Investment company executive; Denver Public Schools Superintendent; Chief of staff to the Mayor of Denver,2009-01-21,
Tim Scott,Republican,1965-09-19,Insurance agent; Financial adviser,2013-01-03,
Kirsten Gillibrand,Democratic,1966-12-09,Lawyer; U.S. HUD special counsel,2009-01-26,
James Lankford,Republican,1968-03-04,Teacher; Nonprofit program director,2015-01-03,
Tammy Duckworth,Democratic,1968-03-12,"Army National Guard Officer; Coordinator, Center for Nursing Research, Northern Illinois University.[20]; U.S. Assistant Secretary of Veterans Affairs; Illinois Director of Veterans Affairs",2017-01-03,
Cory Booker,Democratic,1969-04-27,Lawyer,2013-10-31,
Raphael Warnock,Democratic,1969-07-23,Pastor,2021-01-20,
Joni Ernst,Republican,1970-07-01,Farmer; Army National Guard officer,2015-01-03,
Ted Cruz,Republican,1970-12-22,Lawyer; U.S. Assoc. Deputy AG; Texas Solicitor General,2013-01-03,
Marco Rubio,Republican,1971-05-28,Lawyer,2011-01-03,
Mike Lee,Republican,1971-06-04,Lawyer; Governor's general counsel; Assistant United States Attorney,2011-01-03,
Martin Heinrich,Democratic,1971-10-17,Nonprofit organization executive; Public relations consultant,2013-01-03,
Ben Sasse,Republican,1972-02-22,"Management consultant; House staffer; Professor; University president; Assistant Secretary for Planning and Evaluation, HHS",2015-01-03,
Ben Ray Luján,Democratic,1972-06-07,"Director of Administrative Services and; Chief Financial Officer, New Mexico Cultural Affairs Department; New Mexico Deputy State Treasurer",2021-01-03,
Todd Young,Republican,1972-08-24,Marine Corps Officer; Professor; Consultant; Lawyer,2017-01-03,
Brian Schatz,Democratic,1972-10-20,Teacher; Nonprofit organization executive,2012-12-26,
Alex Padilla,Democratic,1973-03-22,Engineer,2021-01-20,
Chris Murphy,Democratic,1973-08-03,Lawyer; Political campaign manager,2013-01-03,
Kyrsten Sinema,Democratic,1976-07-12,Social worker; Political activist; Lawyer; College professor,2019-01-03,
Tom Cotton,Republican,1977-05-13,Lawyer; United States Army officer,2015-01-03,
Josh Hawley,Republican,1979-12-31,Lawyer; Professor,2019-01-03,
Jon Ossoff,Democratic,1987-02-16,Investigative journalist; Documentary film producer; U.S. House staffer,2021-01-20,
