name,party,education,assumed_office,born
Jeff Van Drew,Republican,"Rutgers University, New Brunswick; BS; Fairleigh Dickinson University; DMD",2019,1953-02-23
Chris Smith,Republican,The College of New Jersey; BS,1981,1953-03-04
Nydia Velázquez,Democratic,"University of Puerto Rico, Río Piedras; BA; New York University; MA",1993,1953-03-28
Joe Courtney,Democratic,Tufts University; BA; University of Connecticut; JD,2007,1953-04-06
Fred Upton,Republican,University of Michigan; BA,1987,1953-04-23
Ed Perlmutter,Democratic,University of Colorado Boulder; BA; JD,2007,1953-05-01
Ken Calvert,Republican,Chaffey College; San Diego State University; BA,1993,1953-06-08
Ralph Norman,Republican,Presbyterian College; BS,2017,1953-06-20
Randy Weber,Republican,Alvin Community College; University of Houston–Clear Lake; BS,2013,1953-07-02
Judy Chu,Democratic,"University of California, Los Angeles; BA; Alliant International University; MA; PhD",2009,1953-07-07
Mike Doyle,Democratic,Pennsylvania State University; BS,1995,1953-08-05
Louie Gohmert,Republican,Texas A&M University; BA; Baylor University; JD,2005,1953-08-18
Gregory Meeks,Democratic,Adelphi University; BA; Howard University; JD,1998,1953-09-25
Karen Bass,Democratic,"San Diego State University; California State University, Dominguez Hills; BS",2011,1953-10-03
Darrell Issa,Republican,Siena Heights University; BA,2021,1953-11-01
Debbie Dingell,Democratic,Georgetown University; BS; MS,2015,1953-11-23
Carlos Giménez,Republican,Barry University; BPA,2021,1954-01-17
Mo Brooks,Republican,Duke University; BA; University of Alabama; JD,2011,1954-04-29
Gary Palmer,Republican,University of Alabama; BS,2015,1954-05-14
Dwight Evans,Democratic,Community College of Philadelphia; AA; La Salle University; BA,2016,1954-05-16
Doug Lamborn,Republican,University of Kansas; BS; JD,2007,1954-05-24
Bob Gibbs,Republican,"Ohio State University, Wooster",2011,1954-06-14
Jim Cooper,Democratic,"University of North Carolina at Chapel Hill; BA; Oriel College, Oxford; MA; Harvard University; JD",2003,1954-06-19
Betty McCollum,Democratic,St. Catherine University; BA,2001,1954-07-12
Adriano Espaillat,Democratic,"Queens College, City University of New York; BA",2017,1954-09-27
Hank Johnson,Democratic,Clark Atlanta University; BA; Texas Southern University; JD,2007,1954-10-02
Suzanne Bonamici,Democratic,Lane Community College; University of Oregon; BA; JD,2012,1954-10-14
Brenda Lawrence,Democratic,University of Detroit Mercy; Central Michigan University; BA,2015,1954-10-18
Brad Sherman,Democratic,"University of California, Los Angeles; BA; Harvard University; JD",1997,1954-10-24
Bill Johnson,Republican,Troy University; BS; Georgia Institute of Technology; MS,2011,1954-11-10
Pete Sessions,Republican,Southwestern University; BS,2021,1955-03-22
Stephen F. Lynch,Democratic,Wentworth Institute of Technology; BS; Boston College; JD; Harvard University; MPA,2001,1955-03-31
Chellie Pingree,Democratic,University of Southern Maine; College of the Atlantic; BS,2009,1955-04-02
Kevin Brady,Republican,University of South Dakota; BA,1997,1955-04-11
Michelle Steel,Republican,Pepperdine University; BA; University of Southern California; MBA,2021,1955-06-21
Glenn Grothman,Republican,University of Wisconsin–Madison; BA; JD,2015,1955-07-03
Dan Newhouse,Republican,Washington State University; BS,2015,1955-07-10
Billy Long,Republican,University of Missouri,2011,1955-08-11
Mariannette Miller-Meeks,Republican,"Texas Christian University; BS; University of Southern California; MS; University of Texas, San Antonio; MD",2021,1955-09-06
Henry Cuellar,Democratic,Laredo Community College; Georgetown University; BA; University of Texas at Austin; JD; PhD; Texas A&M International University; MA,2005,1955-09-19
David Trone,Democratic,Furman University; BA; University of Pennsylvania; MBA,2019,1955-09-21
Bill Foster,Democratic,University of Wisconsin–Madison; BS; Harvard University; MS; PhD,2013,1955-10-07
"Jesús ""Chuy"" García",Democratic,"University of Illinois, Chicago; BA; MUP",2019,1956-04-12
Bob Latta,Republican,Bowling Green State University; BA; University of Toledo; JD,2007,1956-04-18
Robin Kelly,Democratic,Bradley University; BA; MA; Northern Illinois University; PhD,2013,1956-04-30
Tom McClintock,Republican,"University of California, Los Angeles; BA",2009,1956-07-10
Ron Estes,Republican,Tennessee Technological University; BS; MBA,2017,1956-07-19
Charlie Crist,Democratic,Wake Forest University; Florida State University; BA; Samford University; JD,2017,1956-07-24
Ann McLane Kuster,Democratic,Dartmouth College; BA; Georgetown University; JD,2013,1956-09-05
Greg Pence,Republican,Loyola University Chicago; BA; MBA,2019,1956-11-14
Kathy Manning,Democratic,Harvard University; AB; University of Michigan; JD,2021,1956-12-03
French Hill,Republican,Vanderbilt University; BS,2015,1956-12-05
Andy Harris,Republican,Johns Hopkins University; BS; MD; MHS,2011,1957-01-25
John Joyce,Republican,"Pennsylvania State University, Altoona; Pennsylvania State University, University Park; BS; Temple University; MD",2019,1957-02-08
Steve Womack,Republican,Arkansas Tech University; BA,2011,1957-02-18
Val Demings,Democratic,Florida State University; BS,2017,1957-03-12
David Joyce,Republican,University of Dayton; BS; JD,2013,1957-03-17
Joseph Morelle,Democratic,State University of New York at Geneseo; BA,2018,1957-04-29
Susan Wild,Democratic,American University; BA; George Washington University; JD,2018,1957-06-07
Diana DeGette,Democratic,Colorado College; BA; New York University; JD,1997,1957-07-29
Tom Rice,Republican,University of South Carolina; BS; MA; JD,2013,1957-08-04
Buddy Carter,Republican,Young Harris College; University of Georgia; BS,2015,1957-09-06
Tom Tiffany,Republican,University of Wisconsin–River Falls; BS,2020,1957-12-30
Lou Correa,Democratic,"California State University, Fullerton; BA; University of California, Los Angeles; JD; MBA",2017,1958-01-24
Morgan Griffith,Republican,Emory and Henry College; BA; Washington and Lee University; JD,2011,1958-03-15
Mark Amodei,Republican,"University of Nevada, Reno; BA; University of the Pacific; JD",2011,1958-06-12
Jerry Carl,Republican,Florida Gateway College,2021,1958-06-17
Scott Peters,Democratic,Duke University; BA; New York University; JD,2013,1958-06-17
Brad Wenstrup,Republican,University of Cincinnati; BA; Rosalind Franklin University; BS; DPM,2013,1958-06-17
Mike Rogers,Republican,Jacksonville State University; BA; MPA; Birmingham School of Law; JD,2003,1958-07-16
Dan Kildee,Democratic,University of Michigan–Flint; Central Michigan University; BS,2013,1958-08-11
Mike Quigley,Democratic,Roosevelt University; BA; University of Chicago; MPP; Loyola University Chicago; JD,2009,1958-10-17
Andy Biggs,Republican,"Brigham Young University; BA; University of Arizona; JD; Arizona State University, Phoenix; MA",2017,1958-11-07
Debbie Lesko,Republican,University of Wisconsin–Madison; BA,2018,1958-11-14
Paul Gosar,Republican,Creighton University; BS; DDS,2011,1958-11-27
Donald Norcross,Democratic,Camden County College,2014,1958-12-13
Donald Payne Jr.,Democratic,Kean University,2012,1958-12-17
Rob Wittman,Republican,Virginia Tech; BS; University of North Carolina at Chapel Hill; MPH; Virginia Commonwealth University; PhD,2007,1959-02-03
Ken Buck,Republican,Princeton University; BA; University of Wyoming; JD,2015,1959-02-16
Madeleine Dean,Democratic,La Salle University; BA; Widener University; JD,2019,1959-06-06
Teresa Leger Fernandez,Democratic,Yale University; BA; Stanford University; JD,2021,1959-07-01
Glenn Thompson,Republican,Pennsylvania State University; BS; Temple University; MEd,2009,1959-07-27
Mary Miller,Republican,Eastern Illinois University; BA; BS,2021,1959-08-27
Mary Gay Scanlon,Democratic,Colgate University; BA; University of Pennsylvania; JD,2018,1959-08-30
Brian Higgins,Democratic,Buffalo State College; BA; MA; Harvard University; MPA,2005,1959-10-06
Jim McGovern,Democratic,American University; BA; MPA,1997,1959-11-20
Diana Harshbarger,Republican,East Tennessee State University; BS; Mercer University; PharmD,2021,1960-01-01
Frank Lucas,Republican,Oklahoma State University–Stillwater; BS,1994,1960-01-06
Mike Turner,Republican,Ohio Northern University; BA; Case Western Reserve University; JD; University of Dayton; MBA,2003,1960-01-11
Jody Hice,Republican,Asbury University; BA; Southwestern Baptist Theological Seminary; MDiv; Luther Rice College and Seminary; DMin,2015,1960-04-22
John Curtis,Republican,Brigham Young University; BS,2017,1960-05-10
Lucy McBath,Democratic,Virginia State University; BA,2019,1960-06-01
Adam Schiff,Democratic,Stanford University; BA; Harvard University; JD,2001,1960-06-22
Doug LaMalfa,Republican,Butte College; California Polytechnic State University; BS,2013,1960-07-02
Matt Rosendale,Republican,,2021,1960-07-07
Chris Stewart,Republican,Utah State University; BA,2013,1960-07-15
Andy Levin,Democratic,"Williams College; BA; University of Michigan, Ann Arbor; MA; Harvard University; JD",2019,1960-08-10
Vicky Hartzler,Republican,University of Missouri; BS; University of Central Missouri; MS,2011,1960-10-13
Mark Takano,Democratic,"Harvard University; BA; University of California, Riverside; MFA",2013,1960-12-10
Jeff Fortenberry,Republican,Louisiana State University; BA; Georgetown University; MPP; Franciscan University; ThM,2005,1960-12-27
Mike Bost,Republican,,2015,1960-12-30
Claudia Tenney,Republican,Colgate University; BA; University of Cincinnati; JD,2021,1961-02-04
Tom Emmer,Republican,Boston College; University of Alaska Fairbanks; BA; William Mitchell College of Law; JD,2015,1961-03-03
Juan Vargas,Democratic,University of San Diego; BA; Fordham University; MA; Harvard University; JD,2013,1961-03-07
Matt Cartwright,Democratic,"Hamilton College, New York; BA; University of Pennsylvania; JD",2013,1961-05-01
John Moolenaar,Republican,Hope College; BS; Harvard University; MPA,2015,1961-05-08
David Cicilline,Democratic,Brown University; BA; Georgetown University; JD,2011,1961-07-15
Brad Schneider,Democratic,Northwestern University; BS; MBA,2017,1961-08-20
Clay Higgins,Republican,Louisiana State University,2017,1961-08-24
Mario Díaz-Balart,Republican,University of South Florida; BA,2003,1961-09-25
Donald McEachin,Democratic,American University; BA; University of Virginia; JD; Virginia Union University; MDiv,2017,1961-10-10
Cheri Bustos,Democratic,"University of Maryland, College Park; BA; University of Illinois, Springfield; MA",2013,1961-10-17
Maria Elvira Salazar,Republican,Miami Dade College; University of Miami; BA; Harvard University; MPA,2021,1961-11-01
Anthony G. Brown,Democratic,Harvard University; BA; JD,2017,1961-11-21
Kevin Hern,Republican,"Arkansas Tech University; BS; Georgia Institute of Technology; University of Arkansas, Little Rock; MBA",2018,1961-12-04
Michael McCaul,Republican,"Trinity University; BA; St. Mary's University, Texas; JD",2005,1962-01-14
Troy Balderson,Republican,Muskingum University; Ohio State University,2018,1962-01-16
Lisa Blunt Rochester,Democratic,Fairleigh Dickinson University; BA; University of Delaware; MA,2017,1962-02-10
Suzan DelBene,Democratic,Reed College; BS; University of Washington; MBA,2012,1962-02-17
David Schweikert,Republican,"Arizona State University, Tempe; BS; MBA",2011,1962-03-03
Russ Fulcher,Republican,Boise State University; BA; MBA,2019,1962-03-09
John Sarbanes,Democratic,Princeton University; BA; Harvard University; JD,2007,1962-05-22
Scott Perry,Republican,Pennsylvania State University; BS; United States Army War College; MS,2013,1962-05-27
Larry Bucshon,Republican,University of Illinois at Urbana–Champaign; BS; University of Illinois at Chicago; MD,2011,1962-05-31
Jim Hagedorn,Republican,George Mason University; BA,2019,1962-08-04
Thomas Suozzi,Democratic,Boston College; BA; Fordham University; JD,2017,1962-08-31
Ann Wagner,Republican,University of Missouri; BS,2013,1962-09-13
Marilyn Strickland,Democratic,University of Washington; BA; Clark Atlanta University; MBA,2021,1962-09-25
Chuck Fleischmann,Republican,University of Illinois at Urbana–Champaign; BA; University of Tennessee; JD,2011,1962-10-11
Young Kim,Republican,University of Southern California; BBA,2021,1962-10-18
John Katko,Republican,Niagara University; BA; Syracuse University; JD,2015,1962-11-09
Jamie Raskin,Democratic,Harvard University; BA; JD,2017,1962-12-13
Gus Bilirakis,Republican,St. Petersburg College; University of Florida; BA; Stetson University; JD,2007,1963-02-08
Filemon Vela Jr.,Democratic,Georgetown University; BA; University of Texas at Austin; JD,2013,1963-02-13
Greg Murphy,Republican,Davidson College; BA; University of North Carolina at Chapel Hill; MD,2019,1963-03-05
Ron Kind,Democratic,Harvard University; BA; London School of Economics; MA; University of Minnesota; JD,1997,1963-03-16
Tony Cárdenas,Democratic,"University of California, Santa Barbara; BS",2013,1963-03-31
Deborah Ross,Democratic,Brown University; AB; University of North Carolina at Chapel Hill; JD,2021,1963-06-20
Katherine Clark,Democratic,St. Lawrence University; BA; Cornell University; JD; Harvard University; MPA,2013,1963-07-17
Don Bacon,Republican,Northern Illinois University; BA; University of Phoenix; MBA; National Defense University; MA,2017,1963-08-16
Jackie Walorski,Republican,Liberty University; Taylor University; BA,2013,1963-08-17
Troy Carter,Democratic,Xavier University of Louisiana; BA,2021,1963-10-26
Sam Graves,Republican,University of Missouri; BS,2001,1963-11-07
Scott Fitzgerald,Republican,University of Wisconsin–Oshkosh; BS,2021,1963-11-16
Andrew Clyde,Republican,University of Notre Dame; BA; Bethel University; BBA; University of Georgia; MBA,2021,1963-11-22
Barry Loudermilk,Republican,Air University; Wayland Baptist University; BS,2015,1963-12-22
Lloyd Smucker,Republican,Lebanon Valley College; Franklin and Marshall College,2017,1964-01-23
Dan Meuser,Republican,State University of New York Maritime College; Cornell University; BA,2019,1964-02-10
Jim Jordan,Republican,University of Wisconsin–Madison; BS; Ohio State University; MA; Capital University; JD,2007,1964-02-17
Jared Huffman,Democratic,"University of California, Santa Barbara; BA; Boston College; JD",2013,1964-02-18
Brett Guthrie,Republican,United States Military Academy; BS; Yale University; MBA,2009,1964-02-18
Scott DesJarlais,Republican,University of South Dakota; BS; MD,2011,1964-02-21
Yvette Herrell,Republican,ITT Technical Institute; GrCert,2021,1964-03-16
Marie Newman,Democratic,University of Wisconsin–Madison; BA,2021,1964-04-13
James Langevin,Democratic,Rhode Island College; BA; Harvard University; MPA,2001,1964-04-22
Dan Bishop,Republican,University of North Carolina at Chapel Hill; BS; JD,2019,1964-07-01
Mark Pocan,Democratic,University of Wisconsin–Madison; BA,2013,1964-08-14
Scott Franklin,Republican,United States Naval Academy; BA; Embry–Riddle Aeronautical University; MBA,2021,1964-08-23
Tim Burchett,Republican,"University of Tennessee,Knoxville; BS",2019,1964-08-25
Mark E. Green,Republican,United States Military Academy; BS; University of Southern California; MA; Wright State University; MD,2019,1964-11-08
Salud Carbajal,Democratic,"University of California, Santa Barbara; BA; Fielding Graduate University; MA",2017,1964-11-18
Yvette Clarke,Democratic,Oberlin College; Medgar Evers College,2007,1964-11-21
Terri Sewell,Democratic,"Princeton University; BA; St Hilda's College, Oxford; MA; Harvard University; JD",2011,1965-01-01
Kevin McCarthy,Republican,"California State University, Bakersfield; BS; MBA",2007,1965-01-26
Kathleen Rice,Democratic,Catholic University of America; BA; Touro College; JD,2015,1965-02-15
John Rose,Republican,"Tennessee Technological University; BS; Purdue University, West Lafayette; MS; Vanderbilt University; JD",2019,1965-02-23
Ami Bera,Democratic,"University of California, Irvine; BS; MD",2013,1965-03-02
Norma Torres,Democratic,National Labor College; BA,2015,1965-04-04
Cindy Axne,Democratic,University of Iowa; BA; Northwestern University; MBA,2019,1965-04-20
Rick Larsen,Democratic,Pacific Lutheran University; BA; University of Minnesota; MPA,2001,1965-06-15
Adam Smith,Democratic,Western Washington University; Fordham University; BA; University of Washington; JD,1997,1965-06-15
Robert Aderholt,Republican,University of North Alabama; Birmingham–Southern College; BA; Samford University; JD,1997,1965-07-22
Bob Good,Republican,Liberty University; BS; MBA,2021,1965-09-11
Pramila Jayapal,Democratic,Georgetown University; BA; Northwestern University; MBA,2017,1965-09-21
Steve Scalise,Republican,Louisiana State University; BS,2008,1965-10-06
Tom Malinowski,Democratic,"University of California, Berkeley; BA; St Antony's College, Oxford; MPhil",2019,1965-10-23
Fred Keller,Republican,,2019,1965-10-23
Michelle Fischbach,Republican,St. Cloud State University; BA; William Mitchell College of Law; JD,2021,1965-11-03
Jeff Duncan,Republican,Clemson University; BA,2011,1966-01-07
Rick Crawford,Republican,Arkansas State University; BS,2011,1966-01-22
Trent Kelly,Republican,East Central Community College; University of Mississippi; BA; JD; United States Army War College; MA,2015,1966-03-01
Lisa McClain,Republican,Lansing Community College; Northwood University; BA,2021,1966-04-07
Ted Deutch,Democratic,University of Michigan; BA; JD,2010,1966-05-07
Pete Stauber,Republican,Lake Superior State University; BA,2019,1966-05-10
Jim Himes,Democratic,"Harvard University; BA; St Edmund Hall, Oxford; MPhil",2009,1966-07-05
Liz Cheney,Republican,Colorado College; BA; University of Chicago; JD,2017,1966-07-28
Sean Patrick Maloney,Democratic,Georgetown University; University of Virginia; BA; JD,2013,1966-07-30
Kathy Castor,Democratic,Emory University; BA; Florida State University; JD,2007,1966-08-20
Barry Moore,Republican,Enterprise State Community College; AS; Auburn University; BS,2021,1966-09-26
Debbie Wasserman Schultz,Democratic,University of Florida; BA; MA,2005,1966-09-27
David Kustoff,Republican,University of Memphis; BA; JD,2017,1966-10-08
Susie Lee,Democratic,Carnegie Mellon University; BA; MS,2019,1966-11-07
Drew Ferguson,Republican,University of Georgia; BS; Augusta University; DMD,2017,1966-11-15
Chris Jacobs,Republican,Boston College; BA; American University; MA; University at Buffalo; JD,2020,1966-11-28
Ronny Jackson,Republican,Texas A&M University; BS; University of Texas Medical Branch; MD,2021,1967-05-04
Chrissy Houlahan,Democratic,Stanford University; BS; Massachusetts Institute of Technology; MS,2019,1967-06-05
Vicente Gonzalez,Democratic,Embry–Riddle Aeronautical University; BA; Texas Wesleyan University; JD,2017,1967-09-04
Bruce Westerman,Republican,University of Arkansas; BS; Yale University; MS,2015,1967-11-18
Pat Fallon,Republican,University of Notre Dame; BA,2021,1967-12-19
Troy Nehls,Republican,Liberty University; BA; University of Houston–Downtown; MA,2021,1968-04-07
Jennifer Wexton,Democratic,"University of Maryland, College Park; BA; College of William and Mary; JD",2019,1968-05-27
Darin LaHood,Republican,"Loras College; BA; John Marshall Law School, Chicago; JD",2015,1968-07-05
Kim Schrier,Democratic,"University of California, Berkeley; BS; University of California, Davis; MD",2019,1968-08-23
Randy Feenstra,Republican,Dordt University; BA; Iowa State University; MPA,2021,1969-01-14
Dean Phillips,Democratic,Brown University; BA; University of Minnesota; MBA,2019,1969-01-20
Linda Sánchez,Democratic,"University of California, Berkeley; BA; University of California, Los Angeles; JD",2003,1969-01-28
Bill Huizenga,Republican,Calvin College; BA,2011,1969-01-31
Ted Lieu,Democratic,Stanford University; BA; BS; Georgetown University; JD,2015,1969-03-29
Frank J. Mrvan,Democratic,Ball State University; BS,2021,1969-04-16
Cathy McMorris Rodgers,Republican,Pensacola Christian College; BA; University of Washington; MBA,2005,1969-05-22
Veronica Escobar,Democratic,"University of Texas, El Paso; BA; New York University; MA",2019,1969-09-15
Jimmy Panetta,Democratic,"Monterey Peninsula College; University of California, Davis; BA; Santa Clara University; JD",2017,1969-10-01
Austin Scott,Republican,University of Georgia; BA,2011,1969-12-10
Rodney Davis,Republican,Millikin University; BA,2013,1970-01-05
Michael Guest,Republican,Mississippi State University; BS; University of Mississippi; JD,2019,1970-02-04
Steven Palazzo,Republican,University of Southern Mississippi; BA; MPA,2011,1970-02-21
Warren Davidson,Republican,United States Military Academy; BS; University of Notre Dame; MBA,2016,1970-03-01
Greg Stanton,Democratic,Marquette University; BA; University of Michigan; JD,2019,1970-03-08
Carolyn Bourdeaux,Democratic,Yale University; BA; University of Southern California; MPA; Syracuse University; DPA,2021,1970-06-03
Hakeem Jeffries,Democratic,Binghamton University; BA; Georgetown University; MPP; New York University; JD,2013,1970-08-04
Jay Obernolte,Republican,"California Institute of Technology; BS; University of California, Los Angeles; MS",2021,1970-08-18
Beth Van Duyne,Republican,Cornell University; BA,2021,1970-11-16
Adrian Smith,Republican,Liberty University; University of Nebraska–Lincoln; BA,2007,1970-12-19
Marc Veasey,Democratic,Texas Wesleyan University; BA,2013,1971-01-03
Thomas Massie,Republican,Massachusetts Institute of Technology; BS; MS,2012,1971-01-13
